Name,Year,DirectedBy,WikiLink,ImgUrl
The Thing,1982,John Carpenter,https://en.wikipedia.org/wiki/The_Thing_(1982_film),https://upload.wikimedia.org/wikipedia/en/e/e3/The_Thing_%281982_film%29.png
The Fly,1986,David Cronenberg,https://en.wikipedia.org/wiki/The_Fly_(1986_film),https://upload.wikimedia.org/wikipedia/en/a/aa/Fly_poster.jpg
Event Horizon,1997,Paul Anderson,https://en.wikipedia.org/wiki/Event_Horizon_(film),https://upload.wikimedia.org/wikipedia/en/8/8c/Event_horizon_ver1.jpg
Alien,1979,Ridley Scott,https://en.wikipedia.org/wiki/Alien_(film),https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg
Aliens,1986,James Cameron,https://en.wikipedia.org/wiki/Alien_(film),https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg
Annihilation,2018,Alex Garland,https://en.wikipedia.org/wiki/Annihilation_(film),https://upload.wikimedia.org/wikipedia/en/f/f6/Annihilation_%28film%29.png
Prometheus,2012,Ridley Scott,https://en.wikipedia.org/wiki/Prometheus_(2012_film),https://upload.wikimedia.org/wikipedia/en/a/a3/Prometheusposterfixed.jpg
Ghost in the Shell,2017,Rupert Sanders,https://en.wikipedia.org/wiki/Ghost_in_the_Shell_(2017_film),https://upload.wikimedia.org/wikipedia/en/1/11/Ghost_in_the_Shell_%282017_film%29.png
The Matrix,1999,The Wachowskis,https://en.wikipedia.org/wiki/The_Matrix,https://upload.wikimedia.org/wikipedia/en/c/c1/The_Matrix_Poster.jpg
Starship Troopers,1997,Paul Verhoeven,https://en.wikipedia.org/wiki/Starship_Troopers_(film),https://upload.wikimedia.org/wikipedia/en/d/df/Starship_Troopers_-_movie_poster.jpg
Terminator 2: Judgment Day,1991,James Cameron,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,https://upload.wikimedia.org/wikipedia/en/8/85/Terminator2poster.jpg
The Fifth Element,1997,Luc Besson,https://en.wikipedia.org/wiki/The_Fifth_Element,https://upload.wikimedia.org/wikipedia/en/6/65/Fifth_element_poster_%281997%29.jpg
Total Recall,1990,Paul Verhoeven,https://en.wikipedia.org/wiki/Total_Recall_(1990_film),https://upload.wikimedia.org/wikipedia/en/2/2d/Total_Recall_%281990_film%29_poster.jpg
